Datetime,Datetime,Valeur,working day
2019-12-13 02:30:00,2019-12-13 02:30:00,4.83,True
2019-12-13 02:45:00,2019-12-13 02:45:00,4.62,True
2019-12-13 03:00:00,2019-12-13 03:00:00,4.83,True
2019-12-13 03:15:00,2019-12-13 03:15:00,4.62,True
2019-12-13 03:30:00,2019-12-13 03:30:00,4.62,True
2019-12-13 03:45:00,2019-12-13 03:45:00,4.83,True
2019-12-13 04:00:00,2019-12-13 04:00:00,4.83,True
2019-12-13 04:15:00,2019-12-13 04:15:00,4.62,True
2019-12-13 04:30:00,2019-12-13 04:30:00,4.41,True
2019-12-13 04:45:00,2019-12-13 04:45:00,5.25,True
2019-12-13 05:00:00,2019-12-13 05:00:00,4.62,True
2019-12-13 05:15:00,2019-12-13 05:15:00,4.62,True
2019-12-13 05:30:00,2019-12-13 05:30:00,4.83,True
2019-12-13 05:45:00,2019-12-13 05:45:00,4.62,True
2019-12-13 06:00:00,2019-12-13 06:00:00,4.62,True
2019-12-13 06:15:00,2019-12-13 06:15:00,7.98,True
2019-12-13 06:30:00,2019-12-13 06:30:00,10.29,True
2019-12-13 06:45:00,2019-12-13 06:45:00,13.02,True
2019-12-13 07:00:00,2019-12-13 07:00:00,12.39,True
2019-12-13 07:15:00,2019-12-13 07:15:00,10.5,True
2019-12-13 07:30:00,2019-12-13 07:30:00,10.5,True
2019-12-13 07:45:00,2019-12-13 07:45:00,11.97,True
2019-12-13 08:00:00,2019-12-13 08:00:00,15.96,True
2019-12-13 08:15:00,2019-12-13 08:15:00,11.97,True
2019-12-13 08:30:00,2019-12-13 08:30:00,19.32,True
2019-12-13 08:45:00,2019-12-13 08:45:00,17.22,True
2019-12-13 09:00:00,2019-12-13 09:00:00,19.74,True
2019-12-13 09:15:00,2019-12-13 09:15:00,18.06,True
2019-12-13 09:30:00,2019-12-13 09:30:00,16.8,True
2019-12-13 09:45:00,2019-12-13 09:45:00,14.49,True
2019-12-13 10:00:00,2019-12-13 10:00:00,14.07,True
2019-12-13 10:15:00,2019-12-13 10:15:00,17.64,True
2019-12-13 10:30:00,2019-12-13 10:30:00,14.49,True
2019-12-13 10:45:00,2019-12-13 10:45:00,15.54,True
2019-12-13 11:00:00,2019-12-13 11:00:00,15.33,True
2019-12-13 11:15:00,2019-12-13 11:15:00,13.65,True
2019-12-13 11:30:00,2019-12-13 11:30:00,14.7,True
2019-12-13 11:45:00,2019-12-13 11:45:00,19.11,True
2019-12-13 12:00:00,2019-12-13 12:00:00,16.38,True
2019-12-13 12:15:00,2019-12-13 12:15:00,14.49,True
2019-12-13 12:30:00,2019-12-13 12:30:00,16.8,True
2019-12-13 12:45:00,2019-12-13 12:45:00,16.38,True
2019-12-13 13:00:00,2019-12-13 13:00:00,17.01,True
2019-12-13 13:15:00,2019-12-13 13:15:00,18.06,True
2019-12-13 13:30:00,2019-12-13 13:30:00,17.22,True
2019-12-13 13:45:00,2019-12-13 13:45:00,19.32,True
2019-12-13 14:00:00,2019-12-13 14:00:00,17.22,True
2019-12-13 14:15:00,2019-12-13 14:15:00,12.6,True
2019-12-13 14:30:00,2019-12-13 14:30:00,10.71,True
2019-12-13 14:45:00,2019-12-13 14:45:00,10.08,True
2019-12-13 15:00:00,2019-12-13 15:00:00,10.29,True
2019-12-13 15:15:00,2019-12-13 15:15:00,9.66,True
2019-12-13 15:30:00,2019-12-13 15:30:00,10.08,True
2019-12-13 15:45:00,2019-12-13 15:45:00,10.08,True
2019-12-13 16:00:00,2019-12-13 16:00:00,9.87,True
2019-12-13 16:15:00,2019-12-13 16:15:00,9.66,True
2019-12-13 16:30:00,2019-12-13 16:30:00,9.24,True
2019-12-13 16:45:00,2019-12-13 16:45:00,8.82,True
2019-12-13 17:00:00,2019-12-13 17:00:00,8.82,True
2019-12-13 17:15:00,2019-12-13 17:15:00,8.4,True
2019-12-13 17:30:00,2019-12-13 17:30:00,7.56,True
2019-12-13 17:45:00,2019-12-13 17:45:00,7.56,True
2019-12-13 18:00:00,2019-12-13 18:00:00,7.56,True
2019-12-13 18:15:00,2019-12-13 18:15:00,7.35,True
2019-12-13 18:30:00,2019-12-13 18:30:00,7.14,True
2019-12-13 18:45:00,2019-12-13 18:45:00,6.3,True
2019-12-13 19:00:00,2019-12-13 19:00:00,5.46,True
2019-12-13 19:15:00,2019-12-13 19:15:00,5.04,True
2019-12-13 19:30:00,2019-12-13 19:30:00,5.04,True
2019-12-13 19:45:00,2019-12-13 19:45:00,5.46,True
2019-12-13 20:00:00,2019-12-13 20:00:00,5.04,True
2019-12-13 20:15:00,2019-12-13 20:15:00,4.41,True
2019-12-13 20:30:00,2019-12-13 20:30:00,4.41,True
2019-12-13 20:45:00,2019-12-13 20:45:00,4.41,True
2019-12-13 21:00:00,2019-12-13 21:00:00,4.41,True
