Date,Valeur,Datetime,working day
2020-10-01 02:15:00,4.2,2020-10-01 02:15:00,True
2020-10-01 02:30:00,4.9,2020-10-01 02:30:00,True
2020-10-01 02:45:00,5.25,2020-10-01 02:45:00,True
2020-10-01 03:00:00,4.2,2020-10-01 03:00:00,True
2020-10-01 03:15:00,3.5,2020-10-01 03:15:00,True
2020-10-01 03:30:00,3.85,2020-10-01 03:30:00,True
2020-10-01 03:45:00,4.9,2020-10-01 03:45:00,True
2020-10-01 04:00:00,5.6,2020-10-01 04:00:00,True
2020-10-01 04:15:00,3.85,2020-10-01 04:15:00,True
2020-10-01 04:30:00,3.5,2020-10-01 04:30:00,True
2020-10-01 04:45:00,3.5,2020-10-01 04:45:00,True
2020-10-01 05:00:00,4.2,2020-10-01 05:00:00,True
2020-10-01 05:15:00,5.95,2020-10-01 05:15:00,True
2020-10-01 05:30:00,5.25,2020-10-01 05:30:00,True
2020-10-01 05:45:00,4.2,2020-10-01 05:45:00,True
2020-10-01 06:00:00,3.5,2020-10-01 06:00:00,True
2020-10-01 06:15:00,4.2,2020-10-01 06:15:00,True
2020-10-01 06:30:00,5.25,2020-10-01 06:30:00,True
2020-10-01 06:45:00,8.05,2020-10-01 06:45:00,True
2020-10-01 07:00:00,8.05,2020-10-01 07:00:00,True
2020-10-01 07:15:00,7.7,2020-10-01 07:15:00,True
2020-10-01 07:30:00,8.4,2020-10-01 07:30:00,True
2020-10-01 07:45:00,8.05,2020-10-01 07:45:00,True
2020-10-01 08:00:00,9.1,2020-10-01 08:00:00,True
2020-10-01 08:15:00,8.75,2020-10-01 08:15:00,True
2020-10-01 08:30:00,8.75,2020-10-01 08:30:00,True
2020-10-01 08:45:00,9.8,2020-10-01 08:45:00,True
2020-10-01 09:00:00,9.45,2020-10-01 09:00:00,True
2020-10-01 09:15:00,8.05,2020-10-01 09:15:00,True
2020-10-01 09:30:00,7.7,2020-10-01 09:30:00,True
2020-10-01 09:45:00,7.7,2020-10-01 09:45:00,True
2020-10-01 10:00:00,8.75,2020-10-01 10:00:00,True
2020-10-01 10:15:00,9.45,2020-10-01 10:15:00,True
2020-10-01 10:30:00,7.35,2020-10-01 10:30:00,True
2020-10-01 10:45:00,7.35,2020-10-01 10:45:00,True
2020-10-01 11:00:00,9.1,2020-10-01 11:00:00,True
2020-10-01 11:15:00,9.1,2020-10-01 11:15:00,True
2020-10-01 11:30:00,6.65,2020-10-01 11:30:00,True
2020-10-01 11:45:00,7.35,2020-10-01 11:45:00,True
2020-10-01 12:00:00,8.4,2020-10-01 12:00:00,True
2020-10-01 12:15:00,9.1,2020-10-01 12:15:00,True
2020-10-01 12:30:00,8.05,2020-10-01 12:30:00,True
2020-10-01 12:45:00,8.75,2020-10-01 12:45:00,True
2020-10-01 13:00:00,9.1,2020-10-01 13:00:00,True
2020-10-01 13:15:00,7.7,2020-10-01 13:15:00,True
2020-10-01 13:30:00,8.05,2020-10-01 13:30:00,True
2020-10-01 13:45:00,9.8,2020-10-01 13:45:00,True
2020-10-01 14:00:00,9.1,2020-10-01 14:00:00,True
2020-10-01 14:15:00,7.35,2020-10-01 14:15:00,True
2020-10-01 14:30:00,8.75,2020-10-01 14:30:00,True
2020-10-01 14:45:00,8.75,2020-10-01 14:45:00,True
2020-10-01 15:00:00,8.75,2020-10-01 15:00:00,True
