Datetime,Valeur
2019-11-30 07:45:00,4.62
2019-11-30 08:00:00,4.62
2019-11-30 08:15:00,4.62
2019-11-30 08:30:00,4.41
2019-11-30 08:45:00,3.57
2019-11-30 09:00:00,4.2
2019-11-30 09:15:00,3.78
2019-11-30 09:30:00,3.78
2019-11-30 09:45:00,3.78
2019-11-30 10:00:00,3.99
2019-11-30 10:15:00,3.78
2019-11-30 10:30:00,3.36
2019-11-30 10:45:00,3.78
2019-11-30 11:00:00,3.78
2019-11-30 11:15:00,3.78
2019-11-30 11:30:00,3.57
2019-11-30 11:45:00,3.57
2019-11-30 12:00:00,3.99
2019-11-30 12:15:00,3.57
2019-11-30 12:30:00,3.99
2019-11-30 12:45:00,3.78
2019-11-30 13:00:00,3.78
2019-11-30 13:15:00,3.57
2019-11-30 13:30:00,3.78
2019-11-30 13:45:00,3.57
2019-11-30 14:00:00,3.57
2019-11-30 14:15:00,3.78
2019-11-30 14:30:00,3.99
2019-11-30 14:45:00,3.78
2019-11-30 15:00:00,3.78
2019-11-30 15:15:00,3.78
2019-11-30 15:30:00,3.57
2019-11-30 15:45:00,3.78
2019-11-30 16:00:00,3.57
2019-11-30 16:15:00,4.2
2019-11-30 16:30:00,4.62
2019-11-30 16:45:00,4.62
2019-11-30 17:00:00,4.62
2019-11-30 17:15:00,4.62
2019-11-30 17:30:00,4.41
2019-11-30 17:45:00,4.62
2019-11-30 18:00:00,4.62
2019-11-30 18:15:00,4.62
2019-11-30 18:30:00,4.62
2019-11-30 18:45:00,4.62
2019-11-30 19:00:00,4.83
2019-11-30 19:15:00,5.04
2019-11-30 19:30:00,5.04
2019-11-30 19:45:00,4.62
2019-11-30 20:00:00,4.62
2019-11-30 20:15:00,5.04
2019-11-30 20:30:00,4.62
2019-11-30 20:45:00,4.83
2019-11-30 21:00:00,4.62
2019-11-30 21:15:00,4.62
2019-11-30 21:30:00,4.62
2019-11-30 21:45:00,4.62
2019-11-30 22:00:00,4.62
2019-11-30 22:15:00,4.62
2019-11-30 22:30:00,4.62
2019-11-30 22:45:00,4.62
2019-11-30 23:00:00,3.99
2019-11-30 23:15:00,3.78
2019-11-30 23:30:00,3.57
2019-11-30 23:45:00,3.78
2019-12-01 00:00:00,6.72
2019-12-01 00:15:00,6.3
2019-12-01 00:30:00,6.3
2019-12-01 00:45:00,6.51
2019-12-01 01:00:00,6.3
2019-12-01 01:15:00,6.51
2019-12-01 01:30:00,6.09
2019-12-01 01:45:00,6.51
2019-12-01 02:00:00,6.09
2019-12-01 02:15:00,6.51
2019-12-01 02:30:00,6.3
2019-12-01 02:45:00,6.51
2019-12-01 03:00:00,6.51
2019-12-01 03:15:00,6.09
2019-12-01 03:30:00,6.3
2019-12-01 03:45:00,6.51
2019-12-01 04:00:00,6.3
2019-12-01 04:15:00,6.51
2019-12-01 04:30:00,6.3
2019-12-01 04:45:00,6.3
2019-12-01 05:00:00,6.09
2019-12-01 05:15:00,6.51
2019-12-01 05:30:00,6.3
2019-12-01 05:45:00,6.51
2019-12-01 06:00:00,6.72
2019-12-01 06:15:00,6.09
2019-12-01 06:30:00,6.51
2019-12-01 06:45:00,7.56
2019-12-01 07:00:00,7.14
